id,title_bg,title_en,place_id,historical_archive_item_id,match_quality,then_url,now_url,then_license,now_license,source_ids,provenance_urls,editorial_status
then-now-dzhumaya-square-3,Площад Джумая - картичка 3 — тогава/сега,Dzhumaya Square - postcard 3 — then/now,place-dzhumaya-square-q59368698,archive-postcard-dzhumaya-square-3,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard_3.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_-_Bulgarien_019.JPG,Public domain,CC BY-SA 3.0,source-dzhumaya-square-on-old-postcard-3-jpg|source-wikimedia-commons-plovdiv-bulgarien-019-jpg,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard_3.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv_-_Bulgarien_019.JPG,needs_editorial_signoff
then-now-gerdjica-1931,Герджика през 1931 г. — тогава/сега,Gerdzhika in 1931 — then/now,place-gerdzhika-bridge-q56636017,archive-postcard-gerdjica-1931,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Gerdjica_1931.jpg,https://commons.wikimedia.org/wiki/File:Maritza_river_-_panoramio.jpg,CC BY 4.0,CC BY-SA 3.0,source-gerdjica-1931-jpg|source-wikimedia-commons-maritza-river-panoramio-jpg,https://commons.wikimedia.org/wiki/File:Gerdjica_1931.jpg|https://commons.wikimedia.org/wiki/File:Maritza_river_-_panoramio.jpg,needs_editorial_signoff
then-now-old-bridge-gerdjika-1930s,Старият мост и Герджика през 1930-те — тогава/сега,Old Bridge and Gerdzhika Bridge in the 1930s — then/now,place-gerdzhika-bridge-q56636017,archive-postcard-old-bridge-gerdjika-1930s,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Plovdiv%2C_Old_Bridge_and_Gerdjika_Bridge%2C_1930s.jpg,https://commons.wikimedia.org/wiki/File:Maritza_river_-_panoramio.jpg,Public domain,CC BY-SA 3.0,source-plovdiv-old-bridge-and-gerdjika-bridge-1930s-jpg|source-wikimedia-commons-maritza-river-panoramio-jpg,https://commons.wikimedia.org/wiki/File:Plovdiv%2C_Old_Bridge_and_Gerdjika_Bridge%2C_1930s.jpg|https://commons.wikimedia.org/wiki/File:Maritza_river_-_panoramio.jpg,needs_editorial_signoff
then-now-greek-high-school,Гръцката гимназия в Пловдив — тогава/сега,Greek High School in Plovdiv — then/now,place-geo-milev-school,archive-postcard-greek-high-school,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Greek_High_School_in_Plovdiv.jpg,https://commons.wikimedia.org/wiki/File:Geo_Milev_School%2C_Plovdiv_1.jpg,Public domain,Public domain,source-greek-high-school-in-plovdiv-jpg|source-wikimedia-commons-geo-milev-school-plovdiv-1-jpg,https://commons.wikimedia.org/wiki/File:Greek_High_School_in_Plovdiv.jpg|https://commons.wikimedia.org/wiki/File:Geo_Milev_School%2C_Plovdiv_1.jpg,needs_editorial_signoff
then-now-german-school-1928,Немското училище в Пловдив през 1928 г. — тогава/сега,"The German school in Plovdiv, 1928 — then/now",place-german-school-in-plovdiv-q98054499,archive-postcard-german-school-1928,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:The_German_school%2C_Plovdiv%2C_1928.jpg,https://commons.wikimedia.org/wiki/File:The_German_school%2C_Plovdiv%2C_1928.jpg,Public domain,Public domain,source-wikimedia-commons-the-german-school-plovdiv-1928-jpg,https://commons.wikimedia.org/wiki/File:The_German_school%2C_Plovdiv%2C_1928.jpg|https://commons.wikimedia.org/wiki/File:The_German_school%2C_Plovdiv%2C_1928.jpg,needs_editorial_signoff
then-now-tsar-simeon-garden-1915,Цар-Симеоновата градина през 1915 г. — тогава/сега,Tsar Simeon Garden in 1915 — then/now,place-tzar-simeon-garden-q12298697,archive-postcard-tsar-simeon-garden-1915,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:BASA-1735K-1-345-24-Tsar_Simeon_Garden%2C_Plovdiv%2C_Bulgaria%2C_1915.jpg,https://commons.wikimedia.org/wiki/File:Tzar_Simeon_Garden%2C_Plovdiv_2012_04.JPG,Public domain,CC BY-SA 3.0,source-basa-1735k-1-345-24-tsar-simeon-garden-plovdiv-bulgaria-1915-jpg|source-wikimedia-commons-tzar-simeon-garden-plovdiv-2012-04-jpg,https://commons.wikimedia.org/wiki/File:BASA-1735K-1-345-24-Tsar_Simeon_Garden%2C_Plovdiv%2C_Bulgaria%2C_1915.jpg|https://commons.wikimedia.org/wiki/File:Tzar_Simeon_Garden%2C_Plovdiv_2012_04.JPG,needs_editorial_signoff
then-now-princes-garden-plovdiv,Княжеската градина в Пловдив — тогава/сега,Prince’s Garden in Plovdiv — then/now,place-tzar-simeon-garden-q12298697,archive-photo-princes-garden-plovdiv,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Prince's_Garden_Plovdiv.jpg,https://commons.wikimedia.org/wiki/File:Tzar_Simeon_Garden%2C_Plovdiv_2012_04.JPG,Public domain,CC BY-SA 3.0,source-prince-s-garden-plovdiv-jpg|source-wikimedia-commons-tzar-simeon-garden-plovdiv-2012-04-jpg,https://commons.wikimedia.org/wiki/File:Prince's_Garden_Plovdiv.jpg|https://commons.wikimedia.org/wiki/File:Tzar_Simeon_Garden%2C_Plovdiv_2012_04.JPG,needs_editorial_signoff
then-now-opening-1939-plovdiv-fair,Откриване на Пловдивския панаир през 1939 г. — тогава/сега,Opening of the 1939 Plovdiv Fair — then/now,place-international-fair-plovdiv-q1667383,archive-photo-opening-1939-plovdiv-fair,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:BASA_1318K-1-5896-2_Opening_of_1939_Plovdiv_fair.jpg,https://commons.wikimedia.org/wiki/File:Internationa_Fair_Plovdiv_Front.jpg,Public domain,Public domain,source-basa-1318k-1-5896-2-opening-of-1939-plovdiv-fair-jpg|source-wikimedia-commons-internationa-fair-plovdiv-front-jpg,https://commons.wikimedia.org/wiki/File:BASA_1318K-1-5896-2_Opening_of_1939_Plovdiv_fair.jpg|https://commons.wikimedia.org/wiki/File:Internationa_Fair_Plovdiv_Front.jpg,needs_editorial_signoff
then-now-international-fair-1892-1,"Първото пловдивско изложение, 1892 - кадър 1 — тогава/сега","First Plovdiv Exhibition, 1892 - image 1 — then/now",place-international-fair-plovdiv-q1667383,archive-photo-international-fair-1892-1,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:BASA-3K-7-327-1-International_Fair_Plovdiv%2C_1892.jpg,https://commons.wikimedia.org/wiki/File:Internationa_Fair_Plovdiv_Front.jpg,Public domain,Public domain,source-basa-3k-7-327-1-international-fair-plovdiv-1892-jpg|source-wikimedia-commons-internationa-fair-plovdiv-front-jpg,https://commons.wikimedia.org/wiki/File:BASA-3K-7-327-1-International_Fair_Plovdiv%2C_1892.jpg|https://commons.wikimedia.org/wiki/File:Internationa_Fair_Plovdiv_Front.jpg,needs_editorial_signoff
then-now-international-fair-1892-10,"Първото пловдивско изложение, 1892 - кадър 10 — тогава/сега","First Plovdiv Exhibition, 1892 - image 10 — then/now",place-international-fair-plovdiv-q1667383,archive-photo-international-fair-1892-10,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:BASA-3K-7-327-10-International_Fair_Plovdiv%2C_1892.jpg,https://commons.wikimedia.org/wiki/File:Internationa_Fair_Plovdiv_Front.jpg,Public domain,Public domain,source-basa-3k-7-327-10-international-fair-plovdiv-1892-jpg|source-wikimedia-commons-internationa-fair-plovdiv-front-jpg,https://commons.wikimedia.org/wiki/File:BASA-3K-7-327-10-International_Fair_Plovdiv%2C_1892.jpg|https://commons.wikimedia.org/wiki/File:Internationa_Fair_Plovdiv_Front.jpg,needs_editorial_signoff
then-now-ancient-theatre-uncovered-1,Разкриване на Античния театър - кадър 1 — тогава/сега,Uncovering the Ancient Theatre - image 1 — then/now,place-ancient-theatre,archive-photo-ancient-theatre-uncovered-1,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Razkrivane_antichen_teatur.jpg,https://commons.wikimedia.org/wiki/File:Antique-theater-plovdiv.jpg,CC BY 4.0,CC BY-SA 3.0,source-razkrivane-antichen-teatur-jpg|source-wikimedia-commons-antique-theater-plovdiv-jpg,https://commons.wikimedia.org/wiki/File:Razkrivane_antichen_teatur.jpg|https://commons.wikimedia.org/wiki/File:Antique-theater-plovdiv.jpg,needs_editorial_signoff
then-now-ancient-theatre-uncovered-2,Разкриване на Античния театър - кадър 2 — тогава/сега,Uncovering the Ancient Theatre - image 2 — then/now,place-ancient-theatre,archive-photo-ancient-theatre-uncovered-2,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Razkrivane_antichen_teatur1.jpg,https://commons.wikimedia.org/wiki/File:Antique-theater-plovdiv.jpg,CC BY 4.0,CC BY-SA 3.0,source-razkrivane-antichen-teatur1-jpg|source-wikimedia-commons-antique-theater-plovdiv-jpg,https://commons.wikimedia.org/wiki/File:Razkrivane_antichen_teatur1.jpg|https://commons.wikimedia.org/wiki/File:Antique-theater-plovdiv.jpg,needs_editorial_signoff
then-now-ancient-stadium-uncovered-1,Разкриване на Античния стадион - кадър 1 — тогава/сега,Uncovering the Ancient Stadium - image 1 — then/now,place-ancient-stadium,archive-photo-ancient-stadium-uncovered-1,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Razkrivane_stadion.jpg,https://commons.wikimedia.org/wiki/File:Stadio_romano.jpg,CC BY 4.0,CC BY-SA 3.0,source-razkrivane-stadion-jpg|source-wikimedia-commons-stadio-romano-jpg,https://commons.wikimedia.org/wiki/File:Razkrivane_stadion.jpg|https://commons.wikimedia.org/wiki/File:Stadio_romano.jpg,needs_editorial_signoff
then-now-ancient-stadium-uncovered-2,Разкриване на Античния стадион - кадър 2 — тогава/сега,Uncovering the Ancient Stadium - image 2 — then/now,place-ancient-stadium,archive-photo-ancient-stadium-uncovered-2,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Razkrivane_stadion2.jpg,https://commons.wikimedia.org/wiki/File:Stadio_romano.jpg,CC BY 4.0,CC BY-SA 3.0,source-razkrivane-stadion2-jpg|source-wikimedia-commons-stadio-romano-jpg,https://commons.wikimedia.org/wiki/File:Razkrivane_stadion2.jpg|https://commons.wikimedia.org/wiki/File:Stadio_romano.jpg,needs_editorial_signoff
then-now-chirpan-earthquake-st-josif-1928,Щети от Чирпанското земетресение при „Св. Йосиф“ — тогава/сега,Chirpan earthquake damage near St Josif — then/now,place-hospital-st-josif-plovdiv-q27048499,archive-photo-chirpan-earthquake-st-josif-1928,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Chirpan_Earthquake_-_Plovdiv.jpg,https://commons.wikimedia.org/wiki/File:Hospital_St_Josif%2C_Plovdiv.jpg,Public domain,Public domain,source-chirpan-earthquake-plovdiv-jpg|source-wikimedia-commons-hospital-st-josif-plovdiv-jpg,https://commons.wikimedia.org/wiki/File:Chirpan_Earthquake_-_Plovdiv.jpg|https://commons.wikimedia.org/wiki/File:Hospital_St_Josif%2C_Plovdiv.jpg,needs_editorial_signoff
then-now-ivan-vazov-library-earthquake-1928,Народната библиотека „Иван Вазов“ след земетресението — тогава/сега,Ivan Vazov National Library after the earthquake — then/now,place-ivan-vazov-national-library-q630839,archive-photo-ivan-vazov-library-earthquake-1928,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:BASA-741K-2-124-2-Ivan_Vazov_National_Library%2C_Plovdiv.JPG,https://commons.wikimedia.org/wiki/File:Ivan_Vazov_National_Library.JPG,Public domain,CC BY-SA 3.0,source-basa-741k-2-124-2-ivan-vazov-national-library-plovdiv-jpg|source-wikimedia-commons-ivan-vazov-national-library-jpg,https://commons.wikimedia.org/wiki/File:BASA-741K-2-124-2-Ivan_Vazov_National_Library%2C_Plovdiv.JPG|https://commons.wikimedia.org/wiki/File:Ivan_Vazov_National_Library.JPG,needs_editorial_signoff
then-now-balkan-cinema-plovdiv,Кино „Балкан“ в Пловдив — тогава/сега,Balkan cinema in Plovdiv — then/now,place-kino-balkan-q105664675,archive-photo-balkan-cinema-plovdiv,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:BASA-1625K-1-22-5-Balkan_cinema%2C_Plovdiv%2C_Bulgaria.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv-2021-02-KinoBalkan01.jpg,Public domain,CC BY-SA 4.0,source-basa-1625k-1-22-5-balkan-cinema-plovdiv-bulgaria-jpg|source-wikimedia-commons-plovdiv-2021-02-kinobalkan01-jpg,https://commons.wikimedia.org/wiki/File:BASA-1625K-1-22-5-Balkan_cinema%2C_Plovdiv%2C_Bulgaria.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv-2021-02-KinoBalkan01.jpg,needs_editorial_signoff
then-now-trimontium-view-1958,"Изглед от хотел „Тримонциум“, 1958 г. — тогава/сега","View from the Trimontium Hotel, 1958 — then/now",place-trimontsium-hotel-in-plovdiv-q60318638,archive-photo-trimontium-view-1958,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:PLOVDIV%2C_Blick_vom_Zimmer_im_Trimontium_-_58_-_046.44.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv-princess-road-imagesfrombulgaria.JPG,CC BY-SA 4.0,CC BY 2.5,source-plovdiv-blick-vom-zimmer-im-trimontium-58-046-44-jpg|source-wikimedia-commons-plovdiv-princess-road-imagesfrombulgaria-jpg,https://commons.wikimedia.org/wiki/File:PLOVDIV%2C_Blick_vom_Zimmer_im_Trimontium_-_58_-_046.44.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv-princess-road-imagesfrombulgaria.JPG,needs_editorial_signoff
then-now-lamartine-house-restoration-1972,"Ламартинова къща - реставрационен архив, 1972 г. — тогава/сега","Lamartine House restoration archive, 1972 — then/now",place-lamartine-house,archive-photo-lamartine-house-restoration-1972,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:1972Feb_150*_Lamartine_FFloor.jpeg,https://commons.wikimedia.org/wiki/File:Old_town3.jpg,CC BY-SA 3.0,CC BY 2.0,source-1972feb-150-lamartine-ffloor-jpeg|source-wikimedia-commons-file-old-town3-jpg,https://commons.wikimedia.org/wiki/File:1972Feb_150*_Lamartine_FFloor.jpeg|https://commons.wikimedia.org/wiki/File:Old_town3.jpg,needs_editorial_signoff
